country_code,country_name,group,mean_rsv,mean_rsv_pre2022,who_atlas_score,gdp_log,sci_log,pew_religiosity
MD,Moldova,group_b,38.08904109589041,40.666666666666664,2.5,3.832508912706236,0.1846914308175988,99.7
AU,Australia,group_a,36.867383512544805,31.487256371814095,,4.813300708157106,2.268975581097807,57.7
EE,Estonia,group_a,35.58091286307054,31.352941176470587,,4.480926328284688,1.9277295597716546,56.4
GE,Georgia,group_b,35.22119815668203,23.852459016393443,,3.918240090221415,1.213517756996305,98.9
FR,France,group_a,34.639371381306866,31.904850746268657,14.5,4.650307523131937,1.6405808064896525,57.4
DE,Germany,group_a,32.87042459736457,29.946341463414633,13.1,4.738598243341037,1.8645110810583918,63.9
NL,Netherlands,group_a,32.62789160608063,28.5812324929972,,4.802883140038893,2.273348568749101,45.9
LT,Lithuania,group_a,31.991620111731844,24.844827586206897,4.2,4.443826031377537,1.6959192528314,92.9
CA,Canada,group_a,30.896039603960396,28.24047306176084,,4.7341595132444665,2.1338900339856792,65.4
BR,Brazil,group_b,29.883963494132985,29.152905198776757,1.6,4.016113666358908,0.9375178920173467,86.5
UA,Ukraine,focal,29.811902231668437,21.91334894613583,,3.710963118995276,0.9030899869919435,84.8
LV,Latvia,group_a,29.15765765765766,28.026315789473685,4.8,4.356217134219735,1.328583449714202,83.2
AM,Armenia,group_b,29.095238095238095,27.363636363636363,2.3,3.9116369331294423,0.8494194137968994,99.0
GB,United Kingdom,group_a,28.76159718144451,27.31227651966627,,4.698483321923233,2.1273640012862014,59.8
PL,Poland,group_a,27.358950328022495,19.03303964757709,3.5,4.345275684620778,1.5212688755983852,91.4
IL,Israel,group_b,27.085284280936456,23.451263537906136,,4.716036749617809,2.2218574354191367,95.7
US,United States,group_a,26.649058337161232,22.926511627906976,,4.908656558125238,1.9519685844929107,70.3
JP,Japan,group_b,24.998559077809798,22.21359223300971,,4.529379016287619,1.1510632533537501,42.5
KZ,Kazakhstan,group_b,24.498575498575498,12.898305084745763,,4.109882143199101,0.7937903846908186,97.5
UZ,Uzbekistan,group_b,20.42528735632184,20.046875,,3.459241664878082,0.00860017176191757,99.4
AZ,Azerbaijan,group_b,14.881081081081081,11.64406779661017,3.5,3.8532722240206834,0.11058971029924898,95.3
