date,ebt_ratio_global_mean
2018-01-01,2.010997150392168
2018-02-01,2.9467115076896526
2018-03-01,1.9639375573166877
2018-04-01,3.0577565367506057
2018-05-01,2.2247479295422155
2018-06-01,3.0127664960422704
2018-07-01,1.899535479024005
2018-08-01,2.783335872499441
2018-09-01,2.623316185256802
2018-10-01,2.686189657185901
2018-11-01,1.6337237686673494
2018-12-01,2.36052425080054
2019-01-01,2.145602028739591
2019-02-01,3.230285944837252
2019-03-01,2.0338501463608383
2019-04-01,3.265525707224261
2019-05-01,2.6315588989918948
2019-06-01,2.671256445724155
2019-07-01,1.6685588932923285
2019-08-01,1.709927088835647
2019-09-01,2.568707200578598
2019-10-01,2.5010366216623514
2019-11-01,1.9364484389390975
2019-12-01,1.8750790348271622
2020-01-01,2.4002714766644764
2020-02-01,2.6820693334318166
2020-03-01,1.601139623453382
2020-04-01,3.0636726084799957
2020-05-01,2.7994858224455403
2020-06-01,2.409752478843497
2020-07-01,2.394839431572817
2020-08-01,2.625718460176313
2020-09-01,2.974078959265229
2020-10-01,3.2169099161566193
2020-11-01,2.1309260675600346
2020-12-01,2.713991631584914
2021-01-01,3.1496159304175086
2021-02-01,1.6493459877826269
2021-03-01,3.114227414715343
2021-04-01,2.3969901708469825
2021-05-01,2.763795391792075
2021-06-01,2.2169941790952734
2021-07-01,3.1653191671801104
2021-08-01,2.32687234286125
2021-09-01,3.2575476959111076
2021-10-01,2.922636225671659
2021-11-01,2.8703191276030813
2021-12-01,2.7656381972119397
2022-01-01,2.608568748884366
2022-02-01,2.413377331853513
2022-03-01,2.335046601070174
2022-04-01,3.0317468083937795
2022-05-01,2.3686790239817057
2022-06-01,2.7011264833970245
2022-07-01,2.9604156556945074
2022-08-01,3.0426293023761404
2022-09-01,2.954912670817737
2022-10-01,2.5602495663712843
2022-11-01,2.2897620307850626
2022-12-01,2.3457417459727097
2023-01-01,3.2240245020417664
2023-02-01,2.4886381839855485
2023-03-01,2.9979791013668757
2023-04-01,2.6230435868799233
2023-05-01,3.222903637929318
2023-06-01,2.294032573200957
2023-07-01,2.163462163871949
2023-08-01,2.373835646824067
2023-09-01,2.7490684491146746
2023-10-01,2.4222797958974236
2023-11-01,2.3528593482075353
2023-12-01,2.6241579272737448
2024-01-01,2.4515942715960253
2024-02-01,2.3634104607544986
2024-03-01,2.3325800040325193
2024-04-01,2.5282823091013444
2024-05-01,2.1833097242966053
2024-06-01,2.6188817487776452
2024-07-01,2.324133744534039
2024-08-01,2.3431402882164827
2024-09-01,2.4150485820627807
2024-10-01,2.4190930616856385
2024-11-01,2.31044469057279
2024-12-01,2.4470104628939215
2025-01-01,2.1483650260947944
2025-02-01,2.316397221518504
2025-03-01,2.474664128235504
2025-04-01,2.090005416768543
2025-05-01,2.1295397022025595
2025-06-01,2.2192378236721404
2025-07-01,2.576367838470826
2025-08-01,2.5896451951072335
2025-09-01,2.8694036325062435
2025-10-01,2.2105553133137557
2025-11-01,1.2680588394505024
2025-12-01,1.1191465967334058
